Date (UTC), Q (cms)
07/25/2022 04:00,1.88024
07/25/2022 04:15,1.84626
07/25/2022 04:30,1.84626
07/25/2022 04:45,1.84626
07/25/2022 05:00,1.81511
07/25/2022 05:15,1.81511
07/25/2022 05:30,1.81511
07/25/2022 05:45,1.78113
07/25/2022 06:00,1.78113
07/25/2022 06:15,1.78113
07/25/2022 06:30,1.78113
07/25/2022 06:45,1.74998
07/25/2022 07:00,1.74998
07/25/2022 07:15,1.74998
07/25/2022 07:30,1.74998
07/25/2022 07:45,1.71883
07/25/2022 08:00,1.71883
07/25/2022 08:15,1.71883
07/25/2022 08:30,1.71883
07/25/2022 08:45,1.68768
07/25/2022 09:00,1.68768
07/25/2022 09:15,1.68768
07/25/2022 09:30,1.68768
07/25/2022 09:45,1.68768
07/25/2022 10:00,1.65654
07/25/2022 10:15,1.65654
07/25/2022 10:30,1.65654
07/25/2022 10:45,1.65654
07/25/2022 11:00,1.65654
07/25/2022 11:15,1.65654
07/25/2022 11:30,1.65654
07/25/2022 11:45,1.62539
07/25/2022 12:00,1.62539
07/25/2022 12:15,1.62539
07/25/2022 12:30,1.62539
07/25/2022 12:45,1.62539
07/25/2022 13:00,1.62539
07/25/2022 13:15,1.62539
07/25/2022 13:30,1.59424
07/25/2022 13:45,1.59424
07/25/2022 14:00,1.59424
07/25/2022 14:15,1.59424
07/25/2022 14:30,1.59424
07/25/2022 14:45,1.59424
07/25/2022 15:00,1.59424
07/25/2022 15:15,1.59424
07/25/2022 15:30,1.56309
07/25/2022 15:45,1.56309
07/25/2022 16:00,1.56309
07/25/2022 16:15,1.56309
07/25/2022 16:30,1.56309
07/25/2022 16:45,1.56309
07/25/2022 17:00,1.56309
07/25/2022 17:15,1.56309
07/25/2022 17:30,1.56309
07/25/2022 17:45,1.56309
07/25/2022 18:00,1.56309
07/25/2022 18:15,1.56309
07/25/2022 18:30,1.56309
07/25/2022 18:45,1.56309
07/25/2022 19:00,1.56309
07/25/2022 19:15,1.59424
07/25/2022 19:30,1.59424
07/25/2022 19:45,1.59424
