Date (UTC), Q (cms)
07/25/2022 04:00,0.339802
07/25/2022 04:15,0.339802
07/25/2022 04:30,0.339802
07/25/2022 04:45,0.339802
07/25/2022 05:00,0.339802
07/25/2022 05:15,0.339802
07/25/2022 05:30,0.339802
07/25/2022 05:45,0.31998
07/25/2022 06:00,0.339802
07/25/2022 06:15,0.339802
07/25/2022 06:30,0.31998
07/25/2022 06:45,0.339802
07/25/2022 07:00,0.31998
07/25/2022 07:15,0.31998
07/25/2022 07:30,0.339802
07/25/2022 07:45,0.339802
07/25/2022 08:00,0.31998
07/25/2022 08:15,0.339802
07/25/2022 08:30,0.31998
07/25/2022 08:45,0.31998
07/25/2022 09:00,0.339802
07/25/2022 09:15,0.339802
07/25/2022 09:30,0.339802
07/25/2022 09:45,0.339802
07/25/2022 10:00,0.31998
07/25/2022 10:15,0.31998
07/25/2022 10:30,0.31998
07/25/2022 10:45,0.31998
07/25/2022 11:00,0.339802
07/25/2022 11:15,0.31998
07/25/2022 11:30,0.31998
07/25/2022 11:45,0.339802
07/25/2022 12:00,0.31998
07/25/2022 12:15,0.339802
07/25/2022 12:30,0.31998
07/25/2022 12:45,0.300159
07/25/2022 13:00,0.300159
07/25/2022 13:15,0.31998
07/25/2022 13:30,0.300159
07/25/2022 13:45,0.300159
07/25/2022 14:00,0.300159
07/25/2022 14:15,0.300159
07/25/2022 14:30,0.300159
07/25/2022 14:45,0.300159
07/25/2022 15:00,0.300159
07/25/2022 15:15,0.300159
07/25/2022 15:30,0.300159
07/25/2022 15:45,0.31998
07/25/2022 16:00,0.300159
07/25/2022 16:15,0.31998
07/25/2022 16:30,0.300159
07/25/2022 16:45,0.300159
07/25/2022 17:00,0.300159
07/25/2022 17:15,0.300159
07/25/2022 17:30,0.300159
07/25/2022 17:45,0.300159
07/25/2022 18:00,0.300159
07/25/2022 18:15,0.300159
07/25/2022 18:30,0.300159
07/25/2022 18:45,0.31998
07/25/2022 19:00,0.300159
07/25/2022 19:15,0.362456
07/25/2022 19:30,0.724911
07/25/2022 19:45,1.05622
07/25/2022 20:00,1.02507
07/25/2022 20:15,0.928793
07/25/2022 20:30,0.809862
07/25/2022 20:45,0.781545
07/25/2022 21:00,0.99109
07/25/2022 21:15,1.02507
07/25/2022 21:30,1.02507
07/25/2022 21:45,0.959941
07/25/2022 22:00,0.928793
07/25/2022 22:15,0.897644
07/25/2022 22:30,0.838179
07/25/2022 22:45,0.781545
